state_fips,state_abb,state_name,year,n_obs,n_weighted,n_immigrants,immigrant_share,mean_earn,mean_ln_earn,median_earn,share_college,share_female,mean_age
1,AL,Alabama,2000,174,397663.9,12843.380000000001,0.03229707298047421,605.8978923910366,6.2295981395714035,506,0.2674820872601209,0.5199323599652872,43.48196967338499
1,AL,Alabama,2010,119,265924.63,33696.74,0.12671537796254526,734.7425986077334,6.318175964015881,560,0.203767135071317,0.4545771484198361,41.887706452764455
1,AL,Alabama,2020,182,292399.6858,21230.1819,0.07260671926481256,1014.9778095496846,6.705238501663051,824,0.3151074422255758,0.5042861800503344,43.04937973534581
2,AK,Alaska,2000,136,49642.3,3606.97,0.07265920394502269,739.9758977726656,6.420844003168558,705.5,0.2959717821293534,0.4481444252180097,39.9741148174037
2,AK,Alaska,2010,140,37068.64,5114.01,0.13796055102102478,932.6790241023139,6.62098716089597,800,0.3193864139606956,0.5035860500951748,43.68458486742432
2,AK,Alaska,2020,116,42197.4151,3491.915,0.0827518697940339,1239.8414127741205,6.876705383088401,1000,0.3327285845999605,0.501029931570382,44.0092372222108
4,AZ,Arizona,2000,176,337522.12,37415.78,0.1108543048971131,658.8741806611075,6.286328385307221,532,0.31997802099607575,0.554295493285003,41.50004651546986
4,AZ,Arizona,2010,117,316040.58,70312.6,0.22247965751739857,931.4243834446829,6.616783083398156,807,0.40815071912600587,0.4438149999598152,41.154535534645575
4,AZ,Arizona,2020,146,412682.9222,84512.4141,0.20478776696032613,1094.5306194596876,6.8046520823740595,961.5,0.36801932992612707,0.540476526411492,42.7237345807958
5,AR,Arkansas,2000,144,201828.04,11631.76,0.05763203170382074,595.2680283671189,6.23115864491808,482.5,0.262412745027896,0.48048447579434456,41.7584252911538
5,AR,Arkansas,2010,74,124820.52,14160.82,0.11344945526584892,703.9966462245151,6.319026378608832,558.5,0.20899816792943982,0.4060754593876071,42.95157751305635
5,AR,Arkansas,2020,155,167850.263,4263.7319,0.025401997135983036,1042.462972713364,6.6710467089395005,880,0.44934955031914364,0.44848899164370093,43.805039572681515
6,CA,California,2000,915,2623260.77,835279.76,0.31841278211925533,761.9650624783292,6.395383856161095,600,0.36944317968053175,0.4905900948612135,41.584078387296586
6,CA,California,2010,945,1839700.42,801429.25,0.4356303022423618,1002.5818597030054,6.638760029041909,769,0.42098824437948434,0.441132529610446,42.46316747049501
6,CA,California,2020,831,2215428.2001,1030489.9799,0.4651425759830473,1200.164479918728,6.859632314896048,1000,0.45352985037143023,0.45201800692741845,42.35508321035387
8,CO,Colorado,2000,173,366575.36,49836.85,0.13595253647162756,772.655674756754,6.432556941874404,663,0.3819988064664248,0.49851072914447936,41.22511349371655
8,CO,Colorado,2010,274,311708.49,26211.43,0.0840895607302836,1006.5445132726414,6.605233099386756,800,0.5278938023151054,0.4914555904460607,42.99985688551506
8,CO,Colorado,2020,107,396064.01159999997,67304.0875,0.16993234812753685,1165.2272823833107,6.834737871155051,962,0.48290545719453604,0.4452605291947207,41.87990393167043
9,CT,Connecticut,2000,102,294269.68,50129.03,0.1703506457070263,720.1506079049666,6.385690848702664,635,0.33732415109840747,0.5090732419323662,42.01649687456757
9,CT,Connecticut,2010,293,231660.5,49015.25,0.21158225075055956,1121.2596251842676,6.803224459558832,988,0.4838078135892826,0.4983619132307839,45.51567543884262
9,CT,Connecticut,2020,110,256032.0514,57098.4352,0.22301284111806324,1143.0637972344116,6.809928059978672,996.5,0.453102544254348,0.503776251819697,45.04506869564534
10,DE,Delaware,2000,107,66382.70999999999,2961.18,0.04460769980616941,688.21910991582,6.343715402921046,577,0.28113706114137255,0.5153109898646802,41.733659412217435
10,DE,Delaware,2010,193,63486.77,6279.08,0.09890375585338489,851.7139333124051,6.515885931288473,713,0.2903817598532734,0.5054237284397994,44.8706530510215
10,DE,Delaware,2020,93,57368.2855,4182.2137,0.07290114500632933,1013.000769766773,6.674778954036787,920,0.3432694376059051,0.48811542398282065,42.07101259458068
11,DC,Dist. of Columbia,2000,104,50810.85,10434.52,0.20536007565313316,815.6609830380715,6.522218105137129,650,0.4874451027684048,0.4556971591697443,40.02562759725531
11,DC,Dist. of Columbia,2010,186,44715.19,14553.279999999999,0.32546613354432796,1211.9656781062542,6.875368279942511,1135,0.7506167367286151,0.516535879641795,38.462261034784824
11,DC,Dist. of Columbia,2020,202,54928.2377,12144.3681,0.22109517087237626,1719.2499651686442,7.3148595116835144,1663.5,0.8531060791706413,0.5474154270927939,39.57089039468674
12,FL,Florida,2000,537,1162951.05,295542.9,0.2541318484557024,633.3117310397545,6.214480039279312,520,0.2579250089674883,0.4780990395081547,41.697848202639314
12,FL,Florida,2010,454,1142981.55,264509.15,0.23142031470236768,831.9540651727931,6.516101431563914,696,0.3700877498853765,0.5056148631620518,44.7139807112372
12,FL,Florida,2020,395,1238423.9674,373672.419,0.30173222485713336,972.8358354974939,6.684506410181191,808,0.4091728817747685,0.5192076819620505,44.00420692423366
